,price
3834,82.0
3836,55.0
3837,69.0
3838,241.0
3842,49.0
3846,200.0
3847,204.0
3848,185.0
3849,50.0
3850,460.0
3852,45.0
3857,45.0
3858,185.0
3860,250.0
3861,90.0
3863,265.0
3864,85.0
3865,56.0
3867,256.0
3869,87.0
3870,69.0
3873,129.0
3877,111.0
3883,297.0
3887,50.0
3888,45.0
3889,49.0
3890,195.0
3893,75.0
3896,130.0
3898,110.0
3899,83.0
3901,190.0
3904,108.0
3909,75.0
3910,75.0
3913,158.0
3915,120.0
3916,90.0
3917,115.0
3922,50.0
3923,55.0
3925,99.0
3930,135.0
3932,150.0
3934,65.0
3935,185.0
3937,85.0
3939,195.0
3942,52.0
3943,64.0
3945,260.0
3947,180.0
3948,60.0
3949,295.0
3951,30.0
3953,185.0
3955,60.0
3956,43.0
3958,103.0
3959,104.0
3963,111.0
3966,88.0
3968,32.0
3970,116.0
3976,423.0
3977,150.0
3978,100.0
3979,135.0
3980,140.0
3981,163.0
3985,70.0
3986,71.0
3988,70.0
3989,70.0
3990,39.0
3991,135.0
3993,57.0
3995,165.0
3996,175.0
3997,125.0
4001,55.0
4002,114.0
4005,151.0
4006,60.0
4009,159.0
4010,61.0
4012,641.0
4015,45.0
4016,1000.0
4017,90.0
4020,121.0
4021,69.0
4022,92.0
4024,74.0
4026,150.0
4029,73.0
4031,150.0
4033,55.0
4034,102.0
4035,300.0
4037,110.0
4039,80.0
4043,180.0
4051,110.0
4055,129.0
4058,67.0
4060,120.0
4064,115.0
4066,119.0
4069,135.0
4071,107.0
4072,199.0
4075,78.0
4079,94.0
4082,82.0
4088,250.0
4090,115.0
4096,50.0
4098,168.0
4101,49.0
4102,98.0
4106,59.0
4109,80.0
4110,59.0
4112,49.0
4113,185.0
4117,133.0
4118,115.0
4119,124.0
4121,175.0
4123,85.0
4125,70.0
4127,81.0
4128,46.0
4131,100.0
4133,150.0
4138,105.0
4142,115.0
4143,207.0
4147,179.0
4148,55.0
4149,595.0
4150,135.0
4153,514.0
4154,60.0
4156,422.0
4157,153.0
4158,55.0
4159,93.0
4161,74.0
4162,118.0
4163,105.0
4165,175.0
4167,195.0
4170,117.0
